Designator,Footprint,Quantity,Value,LCSC Part #
"C14, C15",C_Disc_D3.8mm_W2.6mm_P2.50mm,2,100nf,
D1,Diode_DO-35_SOD27_Horizontal_RM10,1,D,
IC2,DIP-16_W7.62mm_LongPads,1,74HC595,
IC4,stm32f4_discovery_header_ksir,1,STM32F4_Discovery_Header,
J1,SDRSMT2MQ,1,SD_Card,
"J10A1, J10B1, J11E1, J16, J19, J4A1, J4B1, J5A1, J5B1, J8J9",IDC-Header_2x05_P2.54mm_Vertical,10,CONN_02X05,
"J15A1, J15B1",IDC-Header_2x08_P2.54mm_Vertical,2,CONN_02X08,
J15S1,PinHeader_1x03_P2.54mm_Vertical,1,CONN_01X03,
J17,PinHeader_1x02_P2.54mm_Vertical,1,CONN_01X02,
"J18, J2",PinHeader_1x02_P2.54mm_Vertical,2,CONN_2,
"P1, P2",Potentiometer_VishaySpectrol-Econtrim-Type36T,2,10k,
"R11, R13",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10k,
R33,R_Array_SIP5,1,4x1K,
"R7a1, R7b1, R8a1, R8b1",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,2.2k,
T1,bc337,1,BC817-40,
ic1,DIP-20_W7.62mm_LongPads,1,74HCT541,
