Designator,Mid X,Mid Y,Rotation,Layer
C14,132.25,-77.0,180.0,top
C15,122.0,-51.75,90.0,top
D1,120.00002,-104.99746,0.0,top
IC2,131.175,-89.125,180.0,top
IC4,89.675,-76.2775,0.0,top
J1,57.75,-76.95,270.0,top
J10A1,64.58,-37.5025,270.0,top
J10B1,107.54,-114.2525,270.0,top
J11E1,64.42,-114.2525,270.0,top
J15A1,142.2125,-94.89,0.0,top
J15B1,152.5525,-94.89,0.0,top
J15S1,144.445,-112.5,90.0,top
J16,86.08,-37.5025,270.0,top
J17,148.0,-45.0,90.0,top
J18,144.235,-118.0,90.0,top
J19,143.7475,-61.08,180.0,top
J2,144.0,-40.5,90.0,top
J4A1,129.08,-115.2875,90.0,top
J4B1,86.08,-115.2875,90.0,top
J5A1,129.08,-37.5025,270.0,top
J5B1,107.58,-37.5025,270.0,top
J8J9,153.7475,-61.08,180.0,top
P1,152.00066,-75.99996,270.0,top
P2,142.49936,-75.99936,270.0,top
R11,119.595,-102.0,0.0,top
R12,133.0,-71.0,0.0,top
R13,133.19,-74.0,180.0,top
R33,122.0,-91.4,90.0,top
R7a1,126.81,-108.0,0.0,top
R7b1,84.0,-108.5,0.0,top
R8a1,117.0,-108.0,0.0,top
R8b1,74.31,-108.5,0.0,top
T1,125.286,-73.286,90.0,top
ic1,114.205,-61.925,0.0,top
