Designator,Mid X,Mid Y,Rotation,Layer
C1,65.4,-127.52,0.0,top
C2,86.4,-127.52,0.0,top
C3,107.4,-127.42,0.0,top
C4,128.4,-127.42,0.0,top
IC1,67.4,-117.0,270.0,top
IC2,88.4,-117.0,270.0,top
IC3,109.38,-117.0,270.0,top
IC4,130.38,-117.0132,270.0,top
J1,41.76,-117.5,0.0,top
J2,135.86,-117.5,0.0,top
J3,52.64,-108.08,90.0,top
J4,74.14,-108.08,90.0,top
J5,95.7,-108.08,90.0,top
J6,117.17,-108.08,90.0,top
R1,54.8,-92.07,270.0,top
R10,75.5,-92.09,270.0,top
R11,78.1,-92.09,270.0,top
R12,80.7,-92.09,270.0,top
R13,83.2,-92.1,270.0,top
R14,83.6,-137.82,90.0,top
R15,81.3,-137.83,90.0,top
R16,79.0,-137.82,90.0,top
R17,76.7,-137.82,90.0,top
R18,74.4,-137.83,90.0,top
R19,97.41,-91.98,270.0,top
R2,57.3,-92.07,270.0,top
R20,99.91,-92.07,270.0,top
R21,102.51,-92.08,270.0,top
R22,105.01,-92.08,270.0,top
R23,104.5,-137.84,90.0,top
R24,102.1,-137.92,90.0,top
R25,99.59,-137.92,90.0,top
R26,97.08,-137.92,90.0,top
R27,94.57,-137.92,90.0,top
R28,119.47,-92.08,270.0,top
R29,121.98,-92.08,270.0,top
R3,59.8,-92.08,270.0,top
R30,124.49,-92.08,270.0,top
R31,127.0,-92.08,270.0,top
R32,125.3,-137.92,90.0,top
R33,122.83,-137.92,90.0,top
R34,120.32,-137.92,90.0,top
R35,117.81,-137.92,90.0,top
R36,115.3,-137.92,90.0,top
R4,62.4,-92.08,270.0,top
R5,54.7,-137.96,90.0,top
R6,57.2,-137.94,90.0,top
R7,59.6,-137.94,90.0,top
R8,62.0,-137.95,90.0,top
R9,52.4,-137.94,90.0,top
RN1,52.24,-94.7,0.0,top
RN2,49.76,-127.52,0.0,top
RN3,73.0,-94.9,0.0,top
RN4,70.8,-127.52,0.0,top
RN5,94.89,-94.88,0.0,top
RN6,91.84,-127.52,0.0,top
RN7,116.85,-94.98,0.0,top
RN8,112.7,-127.52,0.0,top
