Designator,Mid X,Mid Y,Rotation,Layer
C2,170.16,-82.94,90.0,top
C3,187.5,-80.5,90.0,top
C4,209.5,-80.45,90.0,top
C5,233.04,-78.35,180.0,top
J1,152.7,-85.6,90.0,top
J2,216.97,-86.29,90.0,top
J3,162.79,-44.2,270.0,top
J4,184.23,-44.2,270.0,top
J5,205.93,-44.21,270.0,top
J6,227.41,-44.21,270.0,top
R1,165.5,-53.32,270.0,top
R2,187.5,-53.31,270.0,top
R3,210.5,-53.32,270.0,top
R4,232.5,-53.32,270.0,top
SR1,165.5,-67.5,270.0,top
SR2,187.5,-67.5,270.0,top
SR3,210.5,-67.52,270.0,top
SR4,232.5,-67.52,270.0,top
