Designator,Mid X,Mid Y,Rotation,Layer
C1,12.513596,-18.39663,270.0,top
C10,14.773425,-7.035704,67.5,top
C100,57.044291,-39.759829,202.5,top
C101,56.594783,-37.5,180.0,top
C102,57.044291,-35.240171,157.5,top
C103,58.324381,-33.324381,135.0,top
C104,60.240171,-32.044291,112.5,top
C105,62.5,-31.594783,90.0,top
C106,64.759829,-32.044291,67.5,top
C107,66.675619,-33.324381,45.0,top
C108,67.955709,-35.240171,22.5,top
C109,68.405217,-37.5,0.0,top
C11,16.689215,-8.315794,45.0,top
C110,67.955709,-39.759829,337.5,top
C111,66.675619,-41.675619,315.0,top
C112,64.759829,-42.955709,292.5,top
C113,87.5,-43.405217,270.0,top
C114,85.240171,-42.955709,247.5,top
C115,83.324381,-41.675619,225.0,top
C116,82.044291,-39.759829,202.5,top
C117,81.594783,-37.5,180.0,top
C118,82.044291,-35.240171,157.5,top
C119,83.324381,-33.324381,135.0,top
C12,17.969305,-10.231584,22.5,top
C120,85.240171,-32.044291,112.5,top
C121,87.5,-31.594783,90.0,top
C122,89.759829,-32.044291,67.5,top
C123,91.675619,-33.324381,45.0,top
C124,92.955709,-35.240171,22.5,top
C125,93.405217,-37.5,0.0,top
C126,92.955709,-39.759829,337.5,top
C127,91.675619,-41.675619,315.0,top
C128,89.759829,-42.955709,292.5,top
C13,18.418813,-12.491413,0.0,top
C14,17.969305,-14.751242,337.5,top
C15,16.689215,-16.667032,315.0,top
C16,14.773425,-17.947122,292.5,top
C17,37.5,-18.405217,270.0,top
C18,35.240171,-17.955709,247.5,top
C19,33.324381,-16.675619,225.0,top
C2,10.253767,-17.947122,247.5,top
C20,32.044291,-14.759829,202.5,top
C21,31.594783,-12.5,180.0,top
C22,32.044291,-10.240171,157.5,top
C23,33.324381,-8.324381,135.0,top
C24,35.240171,-7.044291,112.5,top
C25,37.5,-6.594783,90.0,top
C26,39.759829,-7.044291,67.5,top
C27,41.675619,-8.324381,45.0,top
C28,42.955709,-10.240171,22.5,top
C29,43.405217,-12.5,0.0,top
C3,8.337977,-16.667032,225.0,top
C30,42.955709,-14.759829,337.5,top
C31,41.675619,-16.675619,315.0,top
C32,39.759829,-17.955709,292.5,top
C33,62.5,-18.405217,270.0,top
C34,60.240171,-17.955709,247.5,top
C35,58.324381,-16.675619,225.0,top
C36,57.044291,-14.759829,202.5,top
C37,56.594783,-12.5,180.0,top
C38,57.044291,-10.240171,157.5,top
C39,58.324381,-8.324381,135.0,top
C4,7.057887,-14.751242,202.5,top
C40,60.240171,-7.044291,112.5,top
C41,62.5,-6.594783,90.0,top
C42,64.759829,-7.044291,67.5,top
C43,66.675619,-8.324381,45.0,top
C44,67.955709,-10.240171,22.5,top
C45,68.405217,-12.5,0.0,top
C46,67.955709,-14.759829,337.5,top
C47,66.675619,-16.675619,315.0,top
C48,64.759829,-17.955709,292.5,top
C49,87.5,-18.405217,270.0,top
C5,6.608379,-12.491413,180.0,top
C50,85.240171,-17.955709,247.5,top
C501,12.54,39.8,0.0,top
C502,37.5,39.9,0.0,top
C503,62.5,39.9,0.0,top
C504,87.5,39.8,0.0,top
C505,12.5,14.8,0.0,top
C506,37.5,15.0,0.0,top
C507,62.5,15.0,0.0,top
C508,87.5,14.8,0.0,top
C51,83.324381,-16.675619,225.0,top
C52,82.044291,-14.759829,202.5,top
C53,81.594783,-12.5,180.0,top
C54,82.044291,-10.240171,157.5,top
C55,83.324381,-8.324381,135.0,top
C56,85.240171,-7.044291,112.5,top
C57,87.5,-6.594783,90.0,top
C58,89.759829,-7.044291,67.5,top
C59,91.675619,-8.324381,45.0,top
C6,7.057887,-10.231584,157.5,top
C60,92.955709,-10.240171,22.5,top
C61,93.405217,-12.5,0.0,top
C62,92.955709,-14.759829,337.5,top
C63,91.675619,-16.675619,315.0,top
C64,89.759829,-17.955709,292.5,top
C65,12.5,-43.405217,270.0,top
C66,10.240171,-42.955709,247.5,top
C67,8.324381,-41.675619,225.0,top
C68,7.044291,-39.759829,202.5,top
C69,6.594783,-37.5,180.0,top
C7,8.337977,-8.315794,135.0,top
C70,7.044291,-35.240171,157.5,top
C71,8.324381,-33.324381,135.0,top
C72,10.240171,-32.044291,112.5,top
C73,12.5,-31.594783,90.0,top
C74,14.759829,-32.044291,67.5,top
C75,16.675619,-33.324381,45.0,top
C76,17.955709,-35.240171,22.5,top
C77,18.405217,-37.5,0.0,top
C78,17.955709,-39.759829,337.5,top
C79,16.675619,-41.675619,315.0,top
C8,10.253767,-7.035704,112.5,top
C80,14.759829,-42.955709,292.5,top
C81,37.5,-43.4,270.0,top
C82,35.240171,-42.950492,247.5,top
C83,33.324381,-41.670402,225.0,top
C84,32.044291,-39.754612,202.5,top
C85,31.594783,-37.494783,180.0,top
C86,32.044291,-35.234954,157.5,top
C87,33.324381,-33.319164,135.0,top
C88,35.240171,-32.039074,112.5,top
C89,37.5,-31.589566,90.0,top
C9,12.513596,-6.586196,90.0,top
C90,39.759829,-32.039074,67.5,top
C91,41.675619,-33.319164,45.0,top
C92,42.955709,-35.234954,22.5,top
C93,43.405217,-37.494783,0.0,top
C94,42.955709,-39.754612,337.5,top
C95,41.675619,-41.670402,315.0,top
C96,39.759829,-42.950492,292.5,top
C97,62.5,-43.405217,270.0,top
C98,60.240171,-42.955709,247.5,top
C99,58.324381,-41.675619,225.0,top
D1,12.513596,-21.89663,90.0,top
D10,16.112817,-3.802126,247.5,top
D100,53.810713,-41.099221,22.5,top
D101,53.094783,-37.5,0.0,top
D102,53.810713,-33.900779,337.5,top
D103,55.849507,-30.849507,315.0,top
D104,58.900779,-28.810713,292.5,top
D105,62.5,-28.094783,270.0,top
D106,66.099221,-28.810713,247.5,top
D107,69.150493,-30.849507,225.0,top
D108,71.189287,-33.900779,202.5,top
D109,71.905217,-37.5,180.0,top
D11,19.164089,-5.84092,225.0,top
D110,71.189287,-41.099221,157.5,top
D111,69.150493,-44.150493,135.0,top
D112,66.099221,-46.189287,112.5,top
D113,87.5,-46.905217,90.0,top
D114,83.900779,-46.189287,67.5,top
D115,80.849507,-44.150493,45.0,top
D116,78.810713,-41.099221,22.5,top
D117,78.094783,-37.5,0.0,top
D118,78.810713,-33.900779,337.5,top
D119,80.849507,-30.849507,315.0,top
D12,21.202883,-8.892192,202.5,top
D120,83.900779,-28.810713,292.5,top
D121,87.5,-28.094783,270.0,top
D122,91.099221,-28.810713,247.5,top
D123,94.150493,-30.849507,225.0,top
