Designator,Mid X,Mid Y,Rotation,Layer
C0,17.57,37.89,90.0,bottom
C1,36.2,37.89,90.0,bottom
C2,54.7,37.89,90.0,bottom
C3,73.25,37.89,90.0,bottom
C4,17.57,19.24,90.0,bottom
C5,36.2,19.24,90.0,bottom
C6,54.7,19.24,90.0,bottom
C7,73.25,19.24,90.0,bottom
D0,22.17,39.16,180.0,bottom
D1,40.8,39.16,180.0,bottom
D2,59.3,39.16,180.0,bottom
D3,77.85,39.16,180.0,bottom
D4,22.17,20.51,180.0,bottom
D5,40.8,20.51,180.0,bottom
D6,59.3,20.51,180.0,bottom
D7,77.85,20.51,180.0,bottom
J1,55.08,44.16,90.0,bottom
J2,5.46,25.88,0.0,bottom
J3,93.5,25.62,180.0,bottom
SW0,22.12,34.31,0.0,top
SW1,40.75,34.31,0.0,top
SW2,59.25,34.31,0.0,top
SW3,77.8,34.31,0.0,top
SW4,22.12,15.66,0.0,top
SW5,40.75,15.66,0.0,top
SW6,59.25,15.66,0.0,top
SW7,77.8,15.66,0.0,top
