Designator,Mid X,Mid Y,Rotation,Layer
C140,197.0,-242.0,180.0,bottom
C141,144.2,-238.125,270.0,bottom
C142,144.2,-268.675,270.0,bottom
C143,144.1,-252.9,90.0,bottom
IC1,150.025,-242.055,180.0,bottom
IC2,149.825,-272.675,180.0,bottom
IC3,149.695,-256.975,180.0,bottom
J1,176.84,-248.75,270.0,bottom
J14,101.75,-207.525,180.0,top
J15,198.25,-207.525,180.0,top
J2,113.0,-248.75,270.0,bottom
J20,102.1,-182.1,270.0,bottom
J21,185.2,-182.1,270.0,bottom
J22,114.8,-227.9,90.0,bottom
J23,197.9,-227.9,90.0,bottom
J24,104.75,-207.52,0.0,bottom
J25,195.25,-207.525,0.0,bottom
J30,102.1,-232.1,90.0,top
J31,185.2,-232.1,90.0,top
J32,114.8,-277.9,270.0,top
J33,197.9,-277.9,270.0,top
J34,104.75,-257.525,180.0,top
J35,195.25,-257.525,180.0,top
J44,123.16,-261.25,90.0,bottom
J45,187.0,-261.25,90.0,bottom
R1,144.5,-246.025,90.0,bottom
R10,144.2,-276.625,90.0,bottom
R11,141.5,-275.525,90.0,bottom
R12,138.8,-274.275,90.0,bottom
R13,138.8,-271.175,270.0,bottom
R14,141.5,-269.775,270.0,bottom
R15,156.1,-269.875,270.0,bottom
R16,159.2,-271.125,270.0,bottom
R17,159.2,-274.275,90.0,bottom
R18,156.1,-275.375,90.0,bottom
R19,144.0,-260.925,90.0,bottom
R2,142.5,-244.925,90.0,bottom
R20,141.8,-259.675,90.0,bottom
R21,139.1,-258.575,90.0,bottom
R22,139.1,-255.525,270.0,bottom
R23,141.9,-254.275,270.0,bottom
R24,155.6,-254.225,270.0,bottom
R25,158.5,-255.525,270.0,bottom
R26,158.5,-258.575,90.0,bottom
R27,155.8,-259.775,90.0,bottom
R3,139.2,-243.625,90.0,bottom
R4,139.2,-240.6,270.0,bottom
R5,142.5,-239.525,270.0,bottom
R6,156.4,-239.325,270.0,bottom
R7,159.5,-240.625,270.0,bottom
R8,159.5,-243.7,90.0,bottom
R9,156.4,-244.825,90.0,bottom
SW1,107.6,-203.0,0.0,top
SW2,132.5,-203.0,0.0,top
SW3,157.5,-203.0,0.0,top
SW4,182.5,-202.9,0.0,top
SW5,117.5,-207.1,180.0,top
SW6,142.5,-207.0,180.0,top
SW7,167.5,-207.0,180.0,top
SW8,192.5,-207.0,180.0,top
