Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C11, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C7, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C9, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",CAPC1005X55N,128,100nf,C1525
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D12, D120, D121, D122, D123, D124, D125, D126, D127, D128, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B-2020_PLCC4_2.0x2.0mm,128,WS2812-2020,C2976072
"H1, H13, H14, H15, H16, H17, H18, H19, H2, H20, H3, H4",MountingHole_3.2mm_M3,12,MountingHole,
"H10, H11, H12, H5, H6, H7, H8, H9",Hole_9.5mm,8,MountingHole,
"J11, J12, J13",IDC-Header_2x05_P2.54mm_Vertical_ksr_dIN,3,sin_in,
"J14, J15, J34, J35",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x06_Pin,
"J20, J21, J22, J23",PinSocket_1x06_P2.54mm_Vertical,4,Conn_01x06_Socket,
"J24, J25, J4, J5",PinSocket_1x03_P2.54mm_Vertical,4,Conn_01x06_Socket,
"J30, J31, J32, J33",PinHeader_1x06_P2.54mm_Vertical,4,Conn_01x06_Pin,
"J44, J45",IDC-Header_2x05_P2.54mm_Vertical,2,IDC-Header_2x05_P2.54mm_Vertical,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",PEC164120FS0012,8,PEC16-4XXXF-SXXXX,
