Designator,Mid X,Mid Y,Rotation,Layer
C1,112.513596,-118.39663,270.0,top
C10,114.773425,-107.035704,67.5,top
C100,157.044291,-139.759829,202.5,top
C101,156.594783,-137.5,180.0,top
C102,157.044291,-135.240171,157.5,top
C103,158.324381,-133.324381,135.0,top
C104,160.240171,-132.044291,112.5,top
C105,162.5,-131.594783,90.0,top
C106,164.759829,-132.044291,67.5,top
C107,166.675619,-133.324381,45.0,top
C108,167.955709,-135.240171,22.5,top
C109,168.405217,-137.5,0.0,top
C11,116.689215,-108.315794,45.0,top
C110,167.955709,-139.759829,337.5,top
C111,166.675619,-141.675619,315.0,top
C112,164.759829,-142.955709,292.5,top
C113,187.5,-143.405217,270.0,top
C114,185.240171,-142.955709,247.5,top
C115,183.324381,-141.675619,225.0,top
C116,182.044291,-139.759829,202.5,top
C117,181.594783,-137.5,180.0,top
C118,182.044291,-135.240171,157.5,top
C119,183.324381,-133.324381,135.0,top
C12,117.969305,-110.231584,22.5,top
C120,185.240171,-132.044291,112.5,top
C121,187.5,-131.594783,90.0,top
C122,189.759829,-132.044291,67.5,top
C123,191.675619,-133.324381,45.0,top
C124,192.955709,-135.240171,22.5,top
C125,193.405217,-137.5,0.0,top
C126,192.955709,-139.759829,337.5,top
C127,191.675619,-141.675619,315.0,top
C128,189.759829,-142.955709,292.5,top
C13,118.418813,-112.491413,0.0,top
C14,117.969305,-114.751242,337.5,top
C15,116.689215,-116.667032,315.0,top
C16,114.773425,-117.947122,292.5,top
C17,137.5,-118.405217,270.0,top
C18,135.240171,-117.955709,247.5,top
C19,133.324381,-116.675619,225.0,top
C2,110.253767,-117.947122,247.5,top
C20,132.044291,-114.759829,202.5,top
C21,131.594783,-112.5,180.0,top
C22,132.044291,-110.240171,157.5,top
C23,133.324381,-108.324381,135.0,top
C24,135.240171,-107.044291,112.5,top
C25,137.5,-106.594783,90.0,top
C26,139.759829,-107.044291,67.5,top
C27,141.675619,-108.324381,45.0,top
C28,142.955709,-110.240171,22.5,top
C29,143.405217,-112.5,0.0,top
C3,108.337977,-116.667032,225.0,top
C30,142.955709,-114.759829,337.5,top
C31,141.675619,-116.675619,315.0,top
C32,139.759829,-117.955709,292.5,top
C33,162.5,-118.405217,270.0,top
C34,160.240171,-117.955709,247.5,top
C35,158.324381,-116.675619,225.0,top
C36,157.044291,-114.759829,202.5,top
C37,156.594783,-112.5,180.0,top
C38,157.044291,-110.240171,157.5,top
C39,158.324381,-108.324381,135.0,top
C4,107.057887,-114.751242,202.5,top
C40,160.240171,-107.044291,112.5,top
C41,162.5,-106.594783,90.0,top
C42,164.759829,-107.044291,67.5,top
C43,166.675619,-108.324381,45.0,top
C44,167.955709,-110.240171,22.5,top
C45,168.405217,-112.5,0.0,top
C46,167.955709,-114.759829,337.5,top
C47,166.675619,-116.675619,315.0,top
C48,164.759829,-117.955709,292.5,top
C49,187.5,-118.405217,270.0,top
C5,106.608379,-112.491413,180.0,top
C50,185.240171,-117.955709,247.5,top
C51,183.324381,-116.675619,225.0,top
C52,182.044291,-114.759829,202.5,top
C53,181.594783,-112.5,180.0,top
C54,182.044291,-110.240171,157.5,top
C55,183.324381,-108.324381,135.0,top
C56,185.240171,-107.044291,112.5,top
C57,187.5,-106.594783,90.0,top
C58,189.759829,-107.044291,67.5,top
C59,191.675619,-108.324381,45.0,top
C6,107.057887,-110.231584,157.5,top
C60,192.955709,-110.240171,22.5,top
C61,193.405217,-112.5,0.0,top
C62,192.955709,-114.759829,337.5,top
C63,191.675619,-116.675619,315.0,top
C64,189.759829,-117.955709,292.5,top
C65,112.5,-143.405217,270.0,top
C66,110.240171,-142.955709,247.5,top
C67,108.324381,-141.675619,225.0,top
C68,107.044291,-139.759829,202.5,top
C69,106.594783,-137.5,180.0,top
C7,108.337977,-108.315794,135.0,top
C70,107.044291,-135.240171,157.5,top
C71,108.324381,-133.324381,135.0,top
C72,110.240171,-132.044291,112.5,top
C73,112.5,-131.594783,90.0,top
C74,114.759829,-132.044291,67.5,top
C75,116.675619,-133.324381,45.0,top
C76,117.955709,-135.240171,22.5,top
C77,118.405217,-137.5,0.0,top
C78,117.955709,-139.759829,337.5,top
C79,116.675619,-141.675619,315.0,top
C8,110.253767,-107.035704,112.5,top
C80,114.759829,-142.955709,292.5,top
C81,137.5,-143.4,270.0,top
C82,135.240171,-142.950492,247.5,top
C83,133.324381,-141.670402,225.0,top
C84,132.044291,-139.754612,202.5,top
C85,131.594783,-137.494783,180.0,top
C86,132.044291,-135.234954,157.5,top
C87,133.324381,-133.319164,135.0,top
C88,135.240171,-132.039074,112.5,top
C89,137.5,-131.589566,90.0,top
C9,112.513596,-106.586196,90.0,top
C90,139.759829,-132.039074,67.5,top
C91,141.675619,-133.319164,45.0,top
C92,142.955709,-135.234954,22.5,top
C93,143.405217,-137.494783,0.0,top
C94,142.955709,-139.754612,337.5,top
C95,141.675619,-141.670402,315.0,top
C96,139.759829,-142.950492,292.5,top
C97,162.5,-143.405217,270.0,top
C98,160.240171,-142.955709,247.5,top
C99,158.324381,-141.675619,225.0,top
D1,112.513596,-121.89663,90.0,top
D10,116.112817,-103.802126,247.5,top
D100,153.810713,-141.099221,22.5,top
D101,153.094783,-137.5,0.0,top
D102,153.810713,-133.900779,337.5,top
D103,155.849507,-130.849507,315.0,top
D104,158.900779,-128.810713,292.5,top
D105,162.5,-128.094783,270.0,top
D106,166.099221,-128.810713,247.5,top
D107,169.150493,-130.849507,225.0,top
D108,171.189287,-133.900779,202.5,top
D109,171.905217,-137.5,180.0,top
D11,119.164089,-105.84092,225.0,top
D110,171.189287,-141.099221,157.5,top
D111,169.150493,-144.150493,135.0,top
D112,166.099221,-146.189287,112.5,top
D113,187.5,-146.905217,90.0,top
D114,183.900779,-146.189287,67.5,top
D115,180.849507,-144.150493,45.0,top
D116,178.810713,-141.099221,22.5,top
D117,178.094783,-137.5,0.0,top
D118,178.810713,-133.900779,337.5,top
D119,180.849507,-130.849507,315.0,top
D12,121.202883,-108.892192,202.5,top
D120,183.900779,-128.810713,292.5,top
D121,187.5,-128.094783,270.0,top
D122,191.099221,-128.810713,247.5,top
D123,194.150493,-130.849507,225.0,top
D124,196.189287,-133.900779,202.5,top
D125,196.905217,-137.5,180.0,top
D126,196.189287,-141.099221,157.5,top
D127,194.150493,-144.150493,135.0,top
D128,191.099221,-146.189287,112.5,top
D13,121.918813,-112.491413,180.0,top
D14,121.202883,-116.090634,157.5,top
D15,119.164089,-119.141906,135.0,top
D16,116.112817,-121.1807,112.5,top
D17,137.5,-121.905217,90.0,top
D18,133.900779,-121.189287,67.5,top
D19,130.849507,-119.150493,45.0,top
D2,108.914375,-121.1807,67.5,top
D20,128.810713,-116.099221,22.5,top
D21,128.094783,-112.5,0.0,top
D22,128.810713,-108.900779,337.5,top
D23,130.849507,-105.849507,315.0,top
D24,133.900779,-103.810713,292.5,top
