Designator,Mid X,Mid Y,Rotation,Layer
C0,17.6,-9.825,270.0,bottom
C1,42.55,-9.625,270.0,bottom
C2,67.45,-9.875,270.0,bottom
C3,92.6,-9.825,270.0,bottom
C4,17.5,-28.975,270.0,bottom
C5,42.65,-28.975,270.0,bottom
C6,67.8,-28.975,270.0,bottom
C7,92.75,-28.975,270.0,bottom
D0,12.5,-10.255,0.0,bottom
D1,37.5,-10.255,0.0,bottom
D2,62.5,-10.265,0.0,bottom
D3,87.5,-10.255,0.0,bottom
D4,12.5,-29.375,0.0,bottom
D5,37.5,-29.375,0.0,bottom
D6,62.5,-29.385,0.0,bottom
D7,87.5,-29.385,0.0,bottom
J1,49.4625,-25.0,180.0,bottom
J2,24.5025,-25.0,180.0,bottom
J3,74.4625,-24.96,180.0,bottom
SW0,12.5,-15.5,0.0,top
SW1,37.5,-15.5,0.0,top
SW2,62.5,-15.5,0.0,top
SW3,87.5,-15.5,0.0,top
SW4,12.5,-34.55,0.0,top
SW5,37.5,-34.55,0.0,top
SW6,62.5,-34.56,0.0,top
SW7,87.5,-34.56,0.0,top
