Designator,Mid X,Mid Y,Rotation,Layer
C501,12.54,39.8,0.0,top
C502,37.5,39.9,0.0,top
C503,62.5,39.9,0.0,top
C504,87.5,39.8,0.0,top
C505,12.5,14.8,0.0,top
C506,37.5,15.0,0.0,top
C507,62.5,15.0,0.0,top
C508,87.5,14.8,0.0,top
D501,12.5,37.5,0.0,top
D502,37.5,37.5,0.0,top
D503,62.5,37.5,0.0,top
D504,87.5,37.5,0.0,top
D505,12.5,12.5,0.0,top
D506,37.5,12.5,0.0,top
D507,62.5,12.5,0.0,top
D508,87.5,12.5,0.0,top
J1,55.08,23.7475,90.0,bottom
J2,30.08,23.8,90.0,bottom
J3,80.1,23.7475,90.0,bottom
Sw1,0.0016,0.0016,0.0,top
Sw2,50.0016,0.0016,0.0,top
