Designator,Mid X,Mid Y,Rotation,Layer
J1,154.0,-115.0,0.0,top
J10,117.1,-102.16,180.0,top
J11,114.55,-68.84,0.0,top
J12,127.25,-68.84,0.0,top
J13,139.95,-68.84,0.0,top
J14,152.65,-68.84,0.0,top
J15,165.35,-68.84,0.0,top
J16,178.05,-68.84,0.0,top
J17,190.75,-68.84,0.0,top
J18,203.45,-68.84,0.0,top
J19,206.0,-56.16,180.0,top
J2,193.8,-114.72,90.0,top
J20,193.3,-56.16,180.0,top
J21,180.6,-56.16,180.0,top
J22,167.9,-56.16,180.0,top
J23,155.2,-56.16,180.0,top
J24,142.5,-56.16,180.0,top
J25,129.8,-56.16,180.0,top
J26,168.2,-117.12,180.0,top
J27,113.76,-114.72,0.0,top
J28,125.4766,-114.719999,0.0,top
J29,137.0996,-114.72,0.0,top
J3,206.0,-102.16,180.0,top
J30,175.14,-117.0,180.0,top
J31,182.0,-117.0,180.0,top
J32,186.0,-113.0,180.0,top
J4,193.3,-102.16,180.0,top
J5,180.6,-102.16,180.0,top
J6,167.9,-102.16,180.0,top
J7,155.2,-102.16,180.0,top
J8,142.5,-102.16,180.0,top
J9,129.8,-102.16,180.0,top
